name,text,cooking_time,image,tags,ingredients,author_username
"Омлет","Простой омлет на завтрак.",15,"recipes/images/омлет.jpg","1","2181|3,1546|10","Vasilisa"
"Салат Цезарь","Классический салат с курицей и соусом.",20,"recipes/images/салат_цезарь.jpg","5","1789|100,1546|5,851|10","Vasilisa"
"Чизкейк","Измельчите печенье в блендере, добавьте мускатный орех, перемешайте. В крошку добавьте мягкое сливочное масло, хорошо перетрите руками.Дно формы застелите пергаментом. Крошки утрамбуйте в равномерный слой с бортиком (или без, по желанию). Основу поставьте в разогретую до 200 градусов духовку на 10 минут. Готовую основу достаньте и охладите.В сыр добавьте 3 капли ванильного ароматизатора, 1ч.л. лимонного сока, сахар и хорошо размешайте (но не взбивайте!)По одному добавьте яйца, хорошо перемешивая после каждого. Удобнее всего это делать лопаткой.В самом конце добавьте в сырно-яичную массу сливки, аккуратно перемешайте лопаткой, не взбивайте!Вылейте начинку в форму с основой. Выпекайте в предварительно разогретой духовке сначала 15 минут при 200 градусах .Затем снизьте температуру до 110 градусов и довести чизкейк до готовности примерно 1ч 20 мин. Режим верх-низ. На дно духовки поставьте ёмкость с водой. Чизкейк не должен зарумяниться, он готов, когда центр слегка подрагивает. Охладите чизкейк в несколько этапов. Это важно! Сразу после выключения оставьте его в духовке на час с приоткрытой дверкой. Затем подержите при комнатной температуре до полного остывания формы. Потом проведите тонким ножом вдоль стенок формы и уберите в холодильник на ночь. Утром аккуратно снимите форму и украсьте по своему желанию. Сырное наслаждение готово, приятного аппетита!",120,"recipes/images/чизкейк.jpg","4","1789|600,2181|3,1637|200,1318|250","Alice"
"Яичница","Быстрая яичница на сковороде.",10,"recipes/images/яичница.jpg","1","2181|2,1546|5","Vasilisa"
"Борщ","Традиционный украинский борщ.",90,"recipes/images/борщ.jpg","2","1789|200,1646|50,1546|30","Max"
"Шоколадный торт","Вкусный торт с шоколадной глазурью.",150,"recipes/images/шоколадный_торт.jpg","4,6","1789|300,1546|200,1646|100","Vasilisa"
"Молочный коктейль","Освежающий напиток с молоком.",5,"recipes/images/молочный_коктейль.jpg","4,7","1637|250,1546|20","Maria"
"Закуска из сыра","Простая закуска из сыра и трав.",15,"recipes/images/закуска_из_сыра.jpg","3,8","1789|150,175|1","Alice"
"Паста Карбонара","Итальянская паста с беконом.",30,"recipes/images/паста_карбонара.jpg","2,3","1789|100,2181|2,1646|50","Max"
"Лимонный пирог","Легкий пирог с лимонной начинкой.",60,"recipes/images/лимонный_пирог.jpg","4","1789|200,1546|100,851|30","Vasilisa"
"Смузи с ягодами","Здоровый напиток с ягодами.",5,"recipes/images/смузи_с_ягодами.jpg","7","1637|200,1546|10","Maria"
"Рисовая каша","Простая рисовая каша на завтрак.",20,"recipes/images/рисовая_каша.jpg","1","1637|150,1546|10","Alice"
"Куриный суп","Легкий суп с курицей и овощами.",45,"recipes/images/куриный_суп.jpg","2","1789|100,1646|30,1546|20","Max"
"Фруктовый салат","Легкий салат с фруктами.",10,"recipes/images/фруктовый_салат.jpg","4,5","1789|50,1546|10,851|10","Max"
"Творожная запеканка","Запеканка с творогом и изюмом.",40,"recipes/images/творожная_запеканка.jpg","1,3","1789|200,1546|50,175|1","Maria"
